0ms,0
1ms,1O
0ms,2O
0ms,4O
1ms,6O
1ms,8O
0ms,1S
0ms,2S
1ms,4S
1ms,6S
2ms,8S
0ms,0
1ms,1O
0ms,2O
0ms,4O
0ms,6O
1ms,8O
1ms,1S
1ms,2S
2ms,4S
2ms,6S
3ms,8S
6ms,0
8ms,1O
3ms,2O
2ms,4O
3ms,6O
3ms,8O
7ms,1S
7ms,2S
2ms,4S
3ms,6S
3ms,8S
23ms,0
27ms,1O
3ms,2O
7ms,4O
4ms,6O
1ms,8O
1ms,1S
1ms,2S
1ms,4S
3ms,6S
3ms,8S
54ms,0
36ms,1O
28ms,2O
2ms,4O
42ms,6O
3ms,8O
13ms,1S
13ms,2S
6ms,4S
7ms,6S
8ms,8S
0ms,0
0ms,0
45ms,1O
0ms,2O
0ms,4O
0ms,6O
1ms,8O
0ms,1S
0ms,2S
1ms,4S
1ms,6S
2ms,8S
0ms,0
0ms,0
1ms,1O
0ms,2O
0ms,4O
1ms,6O
2ms,8O
0ms,1S
0ms,2S
1ms,4S
2ms,6S
3ms,8S
0ms,0
5ms,1O
1ms,2O
1ms,4O
2ms,6O
2ms,8O
0ms,1S
0ms,2S
1ms,4S
1ms,6S
2ms,8S
0ms,0
18ms,1O
0ms,2O
1ms,4O
1ms,6O
1ms,8O
0ms,1S
0ms,2S
1ms,4S
2ms,6S
3ms,8S
